ACCOUNT_ID,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient,IS_FRAUD,aml_risk_score,aml_alert,final_aml_score,final_aml_alert
6456,0.0003000600120024005,1.837888814599475e-06,6.358083981733195e-05,0.0,False,0.00010346932709002632,False,0.00013329153940880642,False
9069,0.003900780156031206,0.003102763216588952,0.0010784438815420777,0.0053475935828877,False,0.0031617874680421286,False,0.0032415891619863536,True
7516,0.0008001600320064013,2.9938935525157805e-06,4.177829261316137e-05,0.0,False,0.00024960122554555897,False,0.00032931783939094757,False
9543,0.002000400080016003,0.0001133860501419878,0.0003646456173253699,0.0,False,0.0007184035675266701,False,0.0009071049705140716,False
2445,0.0007001400280056011,4.10738425918891e-05,5.718488698362924e-05,0.0,False,0.0002379085228351618,False,0.00030381514137653307,False
9356,0.004100820164032806,0.00109787640718299,0.00027004105120707336,0.007692307692307693,False,0.002492635591555222,False,0.0027929299672402033,True
2576,0.000600120024004801,1.7478569599544612e-05,4.636251491358623e-05,0.0,False,0.00019629993802397537,False,0.00025456408346450103,False
4617,0.0013002600520104022,0.00011763551493003594,0.00011927505967552575,0.0,False,0.0004609872335102402,False,0.0005792496872182769,False
3524,0.000600120024004801,1.6555771788855525e-05,7.24592019158949e-05,0.0,False,0.00020115015630016146,False,0.00025950658152175605,False
1773,0.0010002000400080016,0.0002248135250173934,9.495551714887952e-05,0.0,False,0.00040897652543913374,False,0.00048651517693819454,False
7123,0.002000400080016003,0.001166498299511157,0.0003721398370718504,0.0,False,0.001141147311223634,False,0.0012245374892741186,False
3327,0.001200240048009602,0.0001955433494632725,5.789640952611398e-05,0.0,False,0.00044986863609341234,False,0.0005503383059480453,False
9711,0.00640128025605121,0.005880913698485386,0.00024851732556238745,0.006656426011264721,True,0.004988095622448466,False,0.0050401322782050485,True
4660,0.0014002800560112022,0.0001425372850645524,6.629428296748594e-05,0.0,False,0.0004903577874226789,False,0.0006161320645173439,False
7018,0.001900380076015203,0.0003767900326327561,7.208263794004528e-05,0.0,False,0.0007352465634456724,False,0.0008876055677839171,False
8957,0.0017003400680136028,9.776907546686098e-05,0.00013809425118075614,0.016666666666666666,True,0.002243495167493643,False,0.0024037522667483173,True
9637,0.005201040208041609,0.0022856275850564704,0.00016814863777705688,0.0022624434389140274,False,0.0027344371678818848,False,0.0030259784301803986,True
5746,0.0014002800560112022,0.00024062562308790425,5.773160049202481e-05,0.0,False,0.0005278805861369274,False,0.0006438460294292572,False
9915,0.003900780156031206,0.00033747289352158047,0.0002834807219569047,0.0,True,0.001361919348609375,False,0.0017182500748603377,False
8293,0.0022004400880176033,0.00048577416887664554,0.0001037410529680989,0.04329004329004329,False,0.005204194233553888,False,0.005375660825467984,True
9816,0.0029005801160232048,0.0002833584186563125,0.0002581048673253493,0.0,False,0.0010351383757345562,False,0.0012968605454712456,False
2060,0.0011002200440088017,0.0004538061353885225,6.873117449412368e-05,0.0,False,0.0005253347022568742,False,0.0005899760931189021,False
6491,0.0008001600320064013,2.7353854414971127e-05,8.786068985848772e-05,0.0,False,0.00026856168933960634,False,0.00034584230709874944,False
8506,0.0008001600320064013,4.2890508863941006e-05,7.909938385192943e-05,0.0,False,0.0002730240899178826,False,0.0003487510422321287,False
5360,0.0016003200640128026,0.0007616669991131902,0.00025277120151586817,0.01098901098901099,False,0.0019342181580533895,False,0.0020180834645433508,False
382,0.0007001400280056011,3.932996553912467e-05,3.9481101325821726e-05,0.0,False,0.00023367021488249453,False,0.00029975122112914224,False
8211,0.0026005201040208044,0.0005096020209792261,0.0002914497521122618,0.01,False,0.002042286790020384,False,0.002251378598324542,True
6613,0.0015003000600120023,0.0006290734098316392,4.695510870813013e-05,0.009523809523809525,False,0.0016634913560588348,False,0.0017506140210768713,False
